,,,,
,,,,
,RETAILER NAME ,REFERENCE SIM,TELEPHONE,IP ADRESSE
,HOTEL KARA,8922801052142363026F,,
,MARCELO BEACH(LA RECEPTION),8922801052024923509F,70596793,10.10.7.62
,DEVEENA,8922801041458908243,,
,ALCOR / (RELAIS DE LA CAISSE),8922801052024923608F,,
,PHARMACIE DELALI,8922801041458906080,,
,LA CASE DU CHEF,8922801052024923517f,,
,HOTEL LA DOUCEUR 1,8922801052142363018F,,
,EL NISSI,8922801052142363588F,,
,HOTEL LA DOUCEUR 2,8922801052024923491F,,
,HOTEL DE FRANCE,8922801052024864273F,,
,PHARMACIE DE L'ESPOIR,8922801052024864562F,,
,PHARMACIE KARA CENTRE,8922801052024864653F,,
,HOTEL PARC RESIDENCE,8922801052142363455F,,
,PHARMACIE D'ANEHO-WOEZ,8922801041458908227,,
,RESTAURANT MACUMBA,8922801052142363448F,,
,HOTEL IVANS-PLAZA,8922801052142363463F,,
,PHARMACIE LE ROCHER,8922801052142363471F,,
,MARCELO BEACH(LE BAR),8922801052142363554F,,
,PHCIE NOTRE DAME DE LA,8922801052142363497,,
,PHARMACIE ABRAHAM,8922801052142363596F,,
,JESS HOTEL,8922801052142363539F,,
,JESS HOTEL KPALIME,8922801052142363547F,,
,PAR-MART 1,8922801052142363463F,,
,PAR-MART 2,8922801052142363125F,,
,HOTEL LE GEYSER,8922801052142363760F,,
,MELKA BABY HOUSE,8922801052142363638F,,
,PHARMACIE FIDELIA,8922801052142363612F,,
,NEW TREICHVILLE,8922801052142363620F,,
,SADIV TOGO SARL,8922801052142363174F,,
,ORCA SARLU,8922801042390723591F,,
,IOKA- SCI CCO,8922801052142363182F,,
,PLURIAL,8922801052142363356F,,
,HEISTAL TOGO SAS ADIDOGOME,8922801042390723708F,,
,HEISTAL TOGO SAS,8922801052142363323F,,
,HEISTAL WUITI ,8922801052142363331F,,
,PHARMACIE EMMANUEL,8922801052142363257F,,
,PURE PLAGE,8922801052142363653F,70750289,10.10.7.158
,ETS AROUNA YOUSSAOU,8922801052142363679F,70750291,10.10.7.160
,EDF TOGO,8922801052142363380F,70750262,10.10.7.31
,CLINIQUE DE L'ATLANTIQUE,8922801052142363208F,,
,HOTEL AMEDZEFE,8922801052142363307F,70750254,10.10.7.123
,EL DORIA HOTEL,8922801052142363398F,,
,HOTEL CRISTAL,8922801052142363844F,70750308,10.10.7.176
,DOLLAR STORE,8922801052142363240F,70750248,10.10.7.117
,DOLLAR STORE,8922801052142363315,,
,HOTEL SOLIM PALACE,8922801052142363687F,70750292,10.10.7.161
,EL DORIA BAGUIDA(BAR 4 IEME ETAGE),8922801052142363737F,70750297,10.10.7.166
,EL DORIA BAGUIDA(LA RECEPTION),8922801052142363711F,70750295,10.10.7.164
,EL DORIA BAGUIDA(ROOF TOP),8922801052142363703F,70750294,10.10.7.163
,EL DORIA BAGUIDA(BAR RDC),8922801042390723401F,71385494,192.168.5.147
,LA CASA,8922801052142363885F,70750312,10.10.7.180
,LA PART DU BOUCHER,8922801052142363802F,,
,CALENDI,8922801052142363901,70750314,10.10.7.182
,SUNRISE MART,8922801052142363786F,,
,LA TERRAZZA,8922801052142363877F,,
,BODEGA,8922801052142363869,,
,CLUB HIPPIQUE DU TOGO,8922801052142363893F,,
,LEDI VISION KLIKAME,8922801052142363919F,,
,LEDI VISION ASSIGAME,8922801052142363927F,,
,SATGURU INVESTMENT KODJOVIAKOPE,8922801052142363810F,,
,HOTEL DEFALE,8922801052142363364F,,
,CABINET ELLE,8922801052142363133F,,
,PHARMACIE DE GBOSSIME,8922801041458908003,,
,DISTINCTION BY ABS NYEKONAKPOE,8922801052142363034F,,
,FAMILLE SAINTE OPTIQUE,8922801052142362945F,,
,WINNER JIT,8922801052142363042F,,
,WINNER JIT,8922801052142363166F,,
,RESTAURANT CHEZ FANNY,8922801052142363117F,,
,Hôtel WOEZO,8922801052142362929F,,
,EPICERIE DU LEVANT1,8922801052142362978F,,
,EPICERIE DU LEVANT 2,8922801052142363091F,,
,HETCHILY VIN DITALIE,8922801052142363000F,,
,LACCORDEON,8922801052142362994F,,
,CORAIL,8922801042388861478F,,
,LED,8922801041458908318,,
,EQEER,8922801052142362952,,
,PHARMACIE DES APOTRES,8922801042388861445F,,
,Hôtel LES MERVEILLES,8922801052142363125F,,
,FLANAD SARL,8922801052142363075F,,
,FLANAD SARL,8922801052142363158F,,
,PHARMACIE JANAP,8922801052142363059,,
,MAISON S,8922801052142363109F,,
,PHARMACIE DE KODJOVIAKOPE,8922801052142363986F,,
,CHYMS,8922801042388861395F,,
,RAMCO FREE SHOP,8922801092156700861F,,
,FAMILLE SAINTE OPTIQUE,8922801052024864281F,,
,SAJES TEXTILES,8922801052142363141F,,
